field1,Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,IsOld,NumberTimePond,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyDebt,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,MonthlyPerPerson,MonthlyBalance,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs,0 probability,1 probability
4,5,0,0.9072394,49,0,1,1,0.024925695,1584.97509366,63588,7,63588.0,0.0,0,1,0,0,0,0.99173,0.00827
19,20,0,0.602794411,25,0,0,0,0.065868263,21.934131579,333,2,333.0,0.0,0,0,0,0,0,0.85882,0.14118
26,27,0,0.052436094,58,0,0,0,0.097672186,813.902325938,8333,22,8333.0,0.0,0,1,0,0,0,0.99068,0.00932
27,28,0,0.034421473,69,0,0,0,0.042383047,105.9576175,2500,17,1250.0,1250.0,0,0,0,1,0,0.99004,0.00996
30,31,0,0.704073982,28,0,1,1,0.155201143,651.8448006000001,4200,8,4200.0,0.0,0,0,0,0,0,0.80528,0.19472
49,50,0,7.96E-5,70,0,3,0,0.256339661,1768.7436609,6900,21,6900.0,0.0,1,1,0,0,0,0.93649,0.06351
50,51,0,0.818977517,73,1,2,0,3095.0,3095.0,0,9,0.0,0.0,0,1,1,0,0,0.83384,0.16616
60,61,0,0.651603452,58,0,0,0,0.241135663,1876.758865129,7783,11,7783.0,0.0,0,1,0,0,0,0.98098,0.01902
73,74,0,0.059668871,31,0,0,0,3162.0,3162.0,0,11,0.0,0.0,0,2,0,1,0,0.88403,0.11597
83,84,0,0.054497069,56,0,0,0,0.492021814,2435.5079793,4950,18,4950.0,0.0,0,2,0,0,0,0.98108,0.01892
86,87,0,0.360509632,58,0,1,1,3282.0,3282.0,,8,,,0,2,0,0,0,0.75155,0.24845
88,89,1,0.734477501,45,0,0,0,0.591477634,2789.408521944,4716,13,1572.0,3144.0,0,2,0,2,0,0.91431,0.08569
92,93,0,0.784835658,52,0,2,0,2662.0,2662.0,,10,,,0,2,1,0,0,0.71573,0.28427
95,96,0,0.24535301,37,0,5,0,0.288417167,1874.7115854999997,6500,11,6500.0,0.0,1,1,1,0,0,0.51659,0.48341
100,101,0,0.013024673999999998,61,0,0,0,15.0,,,4,,,0,0,0,0,0,0.97363,0.02637
113,114,0,0.006541851,68,0,0,0,0.108089191,1080.89191,10000,10,5000.0,5000.0,0,2,0,1,0,0.99015,0.00985
122,123,0,0.29759464199999996,67,0,0,0,0.239507959,992.760490055,4145,13,4145.0,0.0,0,0,0,0,0,0.98921,0.01079
124,125,0,0.277956679,39,0,0,0,4090.0,4090.0,,9,,,0,2,0,0,0,0.84945,0.15055
140,141,0,0.147996253,55,0,0,0,0.323088235,2196.676909765,6799,5,6799.0,0.0,0,1,0,0,0,0.97551,0.02449
141,142,0,0.5765185589999999,72,1,0,0,3031.0,3031.0,,11,,,0,1,0,0,0,0.9418,0.0582
171,172,0,0.9999998999999999,29,0,0,0,974.0,974.0,,2,,,0,0,0,0,0,0.75539,0.24461
172,173,0,0.16653274,53,0,0,0,0.5436259489999999,4080.4563731939998,7506,11,1876.5,5629.5,0,3,0,3,0,0.95199,0.04801
174,175,0,0.13527952,58,0,0,0,0.342005076,3233.65799358,9455,11,3151.6666666666665,6303.333333333334,0,2,0,2,0,0.97555,0.02445
175,176,0,0.16757138900000002,69,0,0,0,0.330733853,1653.6692650000002,5000,10,2500.0,2500.0,0,1,0,1,0,0.98639,0.01361
198,199,0,0.114869499,35,0,0,0,103.0,103.0,,6,,,0,0,0,0,0,0.92842,0.07158
201,202,0,0.311954668,61,0,0,0,0.269281443,2656.730716638,9866,12,3288.6666666666665,6577.333333333334,0,2,0,2,0,0.95919,0.04081
203,204,0,0.137609462,49,0,0,0,0.42953389200000003,3123.5704626240004,7272,11,7272.0,0.0,0,2,0,0,0,0.96338,0.03662
215,216,0,0.9999998999999999,50,0,2,2,1208.0,1208.0,,4,,,0,1,0,0,0,0.59058,0.40942
221,222,0,0.333060631,52,0,5,3,0.7001533740000001,3651.2998454100007,5215,15,5215.0,0.0,0,2,1,0,1,0.45203,0.54797
224,225,0,0.455950788,63,0,1,1,0.701766078,4211.298234078,6001,19,6001.0,0.0,0,2,0,0,0,0.92765,0.07235
226,227,1,1.9534883719999998,38,0,0,0,0.153500141,545.846501396,3556,5,1185.3333333333333,2370.666666666667,0,0,0,2,0,0.80911,0.19089
230,231,0,0.0,76,1,0,0,0.002465931,18.997532424000003,7704,3,7704.0,0.0,0,0,0,0,0,0.99075,0.00925
234,235,0,0.787522133,52,0,0,0,0.353860086,1562.6461397760002,4416,12,2208.0,2208.0,0,0,0,1,0,0.94511,0.05489
235,236,0,0.0,66,0,0,0,3730.0,3730.0,,8,,,0,1,0,0,0,0.92906,0.07094
240,241,1,0.973339258,61,0,3,1,0.209961825,1154.7900375,5500,11,2750.0,2750.0,0,0,1,1,0,0.66463,0.33537
248,249,0,0.012151003,78,1,0,0,0.008886914000000001,39.991113000000006,4500,12,4500.0,0.0,0,0,0,0,0,0.99037,0.00963
249,250,0,0.08131073700000001,81,1,0,0,0.165566887,551.834434371,3333,4,3333.0,0.0,0,0,0,0,0,0.98667,0.01333
254,255,0,0.112321289,53,0,0,0,0.266909775,2268.7330875000002,8500,9,1416.6666666666667,7083.333333333333,0,1,0,5,0,0.9622,0.0378
256,257,0,0.6343270560000001,49,0,1,1,0.123125125,1846.876875,15000,7,7500.0,7500.0,0,0,0,1,0,0.9045,0.0955
269,270,0,0.010402205,68,0,0,0,0.09414051699999999,338.90586119999995,3600,6,3600.0,0.0,0,1,0,0,0,0.98593,0.01407
277,278,0,0.0,44,0,0,0,0.32638368100000004,2175.673617546,6666,4,3333.0,3333.0,0,2,0,1,0,0.915,0.085
