Id,SeriousDlqin2yrs,probability
1,0,0.91756
2,0,0.94844
3,0,0.96978
4,0,0.86467
5,0,0.88638
6,0,0.96922
7,0,0.86541
8,0,0.96438
9,0,0.94968
10,0,0.63294
11,0,0.97362
12,0,0.9534
13,0,0.99049
14,0,0.95663
15,0,0.96861
16,0,0.94041
17,0,0.97534
18,0,0.95985
19,0,0.62135
20,0,0.85611
21,0,0.97258
22,0,0.98111
23,0,0.9807
24,1,0.60631
25,0,0.92713
26,0,0.88273
27,0,0.88682
28,0,0.97332
29,0,0.94301
30,0,0.86913
31,0,0.95225
32,0,0.93537
33,0,0.98204
34,0,0.95219
35,0,0.53745
36,0,0.94685
37,0,0.9385
38,0,0.89116
39,0,0.93395
40,0,0.94768
41,0,0.88005
42,0,0.72502
43,0,0.91884
44,0,0.98296
45,0,0.96031
46,0,0.98929
47,0,0.99636
48,0,0.96259
49,0,0.97923
50,0,0.9398
51,0,0.98949
52,0,0.99176
53,0,0.9636
54,0,0.93416
55,0,0.96133
56,0,0.85715
57,0,0.98457
58,0,0.76929
59,0,0.94724
60,0,0.84896
61,0,0.99175
62,0,0.96754
63,0,0.94451
64,0,0.97623
65,0,0.9495
66,0,0.98675
67,0,0.95702
68,0,0.88401
69,0,0.98473
70,0,0.77148
71,0,0.91816
72,0,0.85344
73,0,0.99027
74,0,0.78517
75,0,0.96105
76,0,0.97502
77,0,0.86122
78,0,0.90119
79,0,0.9393
80,0,0.9367
81,0,0.98355
82,0,0.97696
83,0,0.87416
84,0,0.9918
85,0,0.92671
86,0,0.95506
87,0,0.87039
88,0,0.9315
89,0,0.91361
90,0,0.88483
91,0,0.9183
92,0,0.96358
93,0,0.9035
94,0,0.97376
95,0,0.98517
96,0,0.86755
97,0,0.96353
98,0,0.86248
99,0,0.97276
100,0,0.93024
101,0,0.94342
102,0,0.88319
103,0,0.97644
104,0,0.84428
105,0,0.80638
106,0,0.88366
107,1,0.5865
108,0,0.96705
109,0,0.98704
110,0,0.95718
111,0,0.88889
112,0,0.86179
