Id,Probability
1,0.06834
2,0.04022
3,0.01514
4,0.06533
5,0.0968
6,0.03239
7,0.0559
8,0.03535
9,0.00468
10,0.56433
11,0.00729
12,0.0262
13,0.00907
14,0.04083
15,0.06644
16,0.0129
17,0.02734
18,0.01224
19,0.23085
20,0.09043
21,0.00719
22,0.01434
23,0.00667
24,0.44616
25,0.06547
26,0.01304
27,0.11154
28,0.00899
29,0.05231
30,0.01668
31,0.069
32,0.00741
33,0.00989
34,0.06406
35,0.34267
36,0.05682
37,0.02975
38,0.01135
39,0.00983
40,0.04202
41,0.14483
42,0.24251
43,0.07599
44,0.00779
45,0.05904
46,0.00443
47,0.00484
48,0.0175
49,0.016
50,0.02605
51,0.01583
52,0.01103
53,0.00524
54,0.0625
55,0.01638
56,0.08211
57,0.00522
58,0.12212
59,0.09858
60,0.08123
61,0.03615
62,0.01204
63,0.01423
64,0.00904
65,0.01053
66,0.01489
67,0.01576
68,0.10582
69,0.00625
70,0.64313
71,0.01838
72,0.07196
73,0.00658
74,0.22275
75,0.01151
76,0.03811
77,0.09465
78,0.02493
79,0.01163
80,0.0124
81,0.01175
82,0.01091
83,0.02206
84,0.00798
85,0.01967
86,0.01156
87,0.07186
88,0.00874
89,0.0318
90,0.02381
91,0.06512
92,0.01656
93,0.01835
94,0.01342
95,0.0038
96,0.0723
97,0.03596
98,0.0939
99,0.00824
100,0.01656
101,0.06353
102,0.08878
103,0.00686
104,0.0597
105,0.04178
106,0.02088
107,0.30683
108,0.01197
109,0.00792
110,0.01976
111,0.02146
112,0.0245
113,0.01764
114,0.4816
115,0.09437
116,0.01107
117,0.00473
118,0.09024
119,0.00978
120,0.0074
121,0.00956
122,0.04398
123,0.01506
124,0.5469
125,0.00857
126,0.01778
127,0.00342
128,0.00928
129,0.00539
130,0.04971
131,0.02931
132,0.05657
133,0.00541
134,0.10448
135,0.10026
136,0.00806
137,0.16468
138,0.04754
139,0.00561
140,0.0105
141,0.00582
142,0.0107
143,0.00511
144,0.00858
145,0.29352
146,0.011
147,0.00405
148,0.10561
149,0.00537
150,0.05185
151,0.00428
152,0.00801
153,0.00745
154,0.01287
155,0.01274
156,0.02109
157,0.05894
158,0.00684
159,0.09998
160,0.01595
161,0.0047
162,0.02662
163,0.01522
164,0.05234
165,0.00888
166,0.01468
167,0.56323
168,0.01978
169,0.24675
170,0.00856
171,0.00559
172,0.012
173,0.01141
174,0.05947
175,0.01889
176,0.29245
177,0.01723
178,0.10351
179,0.01634
180,0.01358
181,0.04144
182,0.00573
183,0.01552
184,0.01418
185,0.11865
186,0.00572
187,0.00701
188,0.03839
189,0.05575
190,0.01761
191,0.01021
192,0.04173
193,0.01219
194,0.04864
195,0.00892
196,0.03788
197,0.00703
198,0.01092
199,0.00954
200,0.00763
201,0.05722
202,0.02046
203,0.33392
204,0.03975
205,0.03886
206,0.00582
207,0.01666
208,0.00726
209,0.07625
210,0.00466
211,0.11304
212,0.0215
213,0.00954
214,0.00642
215,0.01605
216,0.06411
217,0.01287
218,0.09039
219,0.00845
220,0.0043
221,0.0113
222,0.01234
223,0.01458
224,0.01454
225,0.01249
226,0.06808
227,0.00742
228,0.05846
229,0.13878
230,0.37488
231,0.26036
232,0.01144
233,0.01222
234,0.00843
235,0.00518
236,0.15777
237,0.03874
238,0.00449
239,0.02038
240,0.01947
241,0.04471
242,0.00839
243,0.00521
244,0.02157
245,0.08462
246,0.01137
247,0.02939
248,0.00645
249,0.0151
250,0.23149
251,0.03472
252,0.25253
253,0.0076
254,0.07432
255,0.00458
256,0.00862
257,0.03555
258,0.18598
259,0.05113
260,0.11578
261,0.00852
262,0.0202
263,0.0036
264,0.05113
265,0.09306
266,0.01353
267,0.06981
268,0.04831
269,0.24187
270,0.00609
271,0.0266
272,0.03403
273,0.00745
274,0.01332
275,0.00936
276,0.02488
277,0.02435
278,0.00807
279,0.04919
280,0.02919
281,0.5412
282,0.06808
283,0.06715
284,0.00737
285,0.00742
286,0.00776
287,0.00995
288,0.03633
289,0.06755
290,0.08802
291,0.29907
292,0.00435
293,0.02761
294,0.00867
295,0.00455
